"quarter","NGDP_dispersion","NGDP_f1_dispersion","NGDP_f2_dispersion","NGDP_f3_dispersion","NGDP_f4_dispersion","RGDP_dispersion","RGDP_f1_dispersion","RGDP_f2_dispersion","RGDP_f3_dispersion","RGDP_f4_dispersion","CPI_dispersion","CPI_f1_dispersion","CPI_f2_dispersion","CPI_f3_dispersion","CPI_f4_dispersion","EMP_dispersion","EMP_f1_dispersion","EMP_f2_dispersion","EMP_f3_dispersion","EMP_f4_dispersion","UNEMP_dispersion","UNEMP_f1_dispersion","UNEMP_f2_dispersion","UNEMP_f3_dispersion","UNEMP_f4_dispersion","CPROF_dispersion","CPROF_f1_dispersion","CPROF_f2_dispersion","CPROF_f3_dispersion","CPROF_f4_dispersion","INDPROD_dispersion","INDPROD_f1_dispersion","INDPROD_f2_dispersion","INDPROD_f3_dispersion","INDPROD_f4_dispersion","HOUSING_dispersion","HOUSING_f1_dispersion","HOUSING_f2_dispersion","HOUSING_f3_dispersion","HOUSING_f4_dispersion","RRESINV_dispersion","RRESINV_f1_dispersion","RRESINV_f2_dispersion","RRESINV_f3_dispersion","RRESINV_f4_dispersion","RNRESIN_dispersion","RNRESIN_f1_dispersion","RNRESIN_f2_dispersion","RNRESIN_f3_dispersion","RNRESIN_f4_dispersion","RCONSUM_dispersion","RCONSUM_f1_dispersion","RCONSUM_f2_dispersion","RCONSUM_f3_dispersion","RCONSUM_f4_dispersion","RFEDGOV_dispersion","RFEDGOV_f1_dispersion","RFEDGOV_f2_dispersion","RFEDGOV_f3_dispersion","RFEDGOV_f4_dispersion","RSLGOV_dispersion","RSLGOV_f1_dispersion","RSLGOV_f2_dispersion","RSLGOV_f3_dispersion","RSLGOV_f4_dispersion"
1993-01-01,1.1242,1.3352,1.3554,1.0159,0.9734,0.9211,0.8856,0.7174,0.5513,0.7587,0.4,0.5,0.6,0.75,0.7,NA,NA,NA,NA,NA,0.1,0.1,0.2,0.2,0.4,18.5955,11.2553,10.5876,7.2413,8.5003,1.4972,1.2004,1.6215,1.6009,1.258,16.7347,9.2369,7.7999,8.6892,7.3253,11.59,6.5515,5.0371,4.2664,3.6006,3.8456,4.2428,4.4997,4.7351,3.0841,0.5001,0.8069,1.1361,0.8125,0.6648,5.2464,5.9182,5.9987,5.8986,5.4435,0.7187,2.0329,2.0809,2.1764,1.1751
1993-04-01,1.421,1.5253,1.0619,1.1141,1.4852,0.7895,1.0587,0.4977,0.7,0.8168,0.5,0.6,0.6,0.9,0.75,NA,NA,NA,NA,NA,0.1,0.15,0.3,0.4,0.5,11.8628,11.4385,12.7988,11.8499,6.509,1.4621,1.6048,2.0046,1.5371,1.5534,37.6277,17.265,15.1114,12.2008,9.4055,10.3277,7.122,7.9515,4.2983,3.3995,3.8436,2.991,3.7343,3.989,4.0637,1.0459,1.0955,0.8089,0.8037,0.7677,5.8268,6.5271,7.506,4.5028,3.8553,2.3542,1.5166,1.9928,1.6002,2.1542
1993-07-01,0.9221,1.1348,0.8629,1.327,1.116,0.9823,1.1753,0.7745,0.6656,0.7631,1,0.6,0.5,0.55,0.6,NA,NA,NA,NA,NA,0.1,0.2,0.2,0.2,0.3,11.238,12.0553,12.2316,7.6182,7.7501,1.4912,1.3756,1.5199,1.1546,1.3944,23.3009,9.2396,8.3121,6.502,6.1521,5.822,8.7492,6.1469,4.464,2.4348,4.0651,3.4735,3.7159,3.1992,4,0.557,0.8911,1.0424,0.5208,0.7774,5,5.511,3.4344,4.313,2.9654,1.4305,1.4268,1.7438,1.3458,1.7917
1993-10-01,0.879,1.1257,1.0209,1.3765,1.0219,0.6796,0.7625,0.6181,0.515,0.7221,0.4,0.7,0.4,0.6,0.5,NA,NA,NA,NA,NA,0.1,0.2,0.2,0.3,0.35,13.185,7.75,10.5849,7.4932,4.0988,2.5982,2.2207,1.6008,1.7711,0.7337,19.1239,7.2831,9.4055,6.7581,8.4602,4.6697,6.2511,4.1482,3.8179,2.6312,4.1279,3.7392,3.4223,3.8076,3.0288,0.544,1.2073,0.9037,0.8735,0.6001,2.9504,4.0169,2.4671,4.2088,4.0034,1.466,1.501,1.0654,1.221,1.3004
1994-01-01,0.9187,1.2089,1.2969,0.7513,1.0003,0.4999,0.961,0.6775,0.5665,0.6301,0.7,0.5,0.65,0.5,0.6,NA,NA,NA,NA,NA,0.1,0.2,0.2,0.15,0.2,13.4206,16.455,10.3352,8.5903,7.685,2.5654,1.8027,1.4056,1.0617,1.0718,15.9707,20.8736,11.3307,9.9523,11.3408,7.3064,5.1845,4.4783,2.8749,3.6069,3.7933,3.6847,5.3453,3.9539,3.7524,0.5824,0.7324,0.6383,0.6886,0.8524,4.865,4.557,3.9359,3.8633,4.1367,1.9356,2.776,1.523,1.7766,1.2264
1994-04-01,1.0798,1.0185,0.897,0.7328,1.1509,0.9626,0.8261,0.6346,0.4334,0.7775,0.9,0.5,0.5,0.8,0.7,NA,NA,NA,NA,NA,0.1,0.3,0.3,0.2,0.3,22.6594,10.8273,7.0527,11.7579,8.2919,1.8031,1.365,1.2242,1.0314,0.9743,18.7396,14.6079,10.2752,8.3517,7.9987,9.4395,6.0427,5.6125,5.8491,5.7124,6.6667,4.8618,5.1704,2.9353,2.86,0.7218,0.5533,0.6708,0.6502,0.7525,4.4511,3.996,3.4997,3.7,3.3586,2.5131,1.6225,1.4078,1.3776,1.3019
1994-07-01,1.1962,0.8,0.7392,0.9178,0.9666,0.8555,0.7,0.8621,0.7002,0.5618,0.3,0.6,0.7,0.4,0.675,NA,NA,NA,NA,NA,0,0.1,0.3,0.3,0.35,11.0959,5.0837,8.2418,6.785,6.0698,2.4613,2.0882,1.9597,1.6322,1.4992,12.9047,11.0234,8.4162,9.0356,7.9354,5.4811,5.9009,7.6244,6.1014,3.7069,5.5138,4.4916,2.8886,3.5567,3.7638,0.9396,0.7111,0.5103,0.6281,0.4848,4.1302,3.7676,3.2165,3.0416,2.736,1.6212,1.4579,1.0089,1.2251,1.8435
1994-10-01,1.0434,1.2036,1.5731,1.2,1.1754,0.9253,0.6183,0.7364,0.7038,0.571,0.75,0.65,0.55,0.6,0.65,NA,NA,NA,NA,NA,0.1,0.2,0.3,0.2,0.2,9.6635,10.3039,7.9822,7.8827,6.2584,1.9141,1.6271,1.421,1.0381,0.9187,16.3143,10.5286,10.0673,6.8554,7.2013,7.5107,6.3942,4.862,3.0005,4.2142,5.1658,3.4456,2.988,3.6,3.7257,0.8695,0.681,0.8998,0.5431,0.7917,4.7572,3.7866,2.962,3.9338,1.996,1.9633,1.0665,1.5186,1.458,1.2417
1995-01-01,1.1597,1.2342,0.8028,1.115,1.3717,0.6859,0.7008,0.5435,0.4375,0.8042,0.4,0.5,0.4,0.55,0.5,NA,NA,NA,NA,NA,0.1,0.3,0.3,0.3,0.25,12.6083,10.4578,13.8521,9.333,12.5688,1.622,1.1982,1.8996,1.3501,0.9614,11.5834,11.1321,11.9593,6.0072,9.492,5.0714,4.0385,5.5496,6.3759,7.0328,3.561,3.5864,3.4741,2.7348,2.6167,0.8,0.7556,0.5399,0.4388,0.509,6.8422,2.2461,2.0546,2.1011,2.0088,1.4157,0.8199,0.942,0.6404,0.7023
1995-04-01,1.0457,0.9672,1.3015,0.9607,0.9915,0.7777,0.8138,0.8286,0.9643,0.7725,0.3,0.5,0.6,0.6,0.7,NA,NA,NA,NA,NA,0.2,0.2,0.4,0.4,0.4,9.8225,8.2421,9.7205,7.008,6.2057,3.6454,1.9963,1.5016,1.3649,1.3259,13.6062,14.2624,12.1494,11.1845,15.3978,7.5843,6.3866,4.4103,5.6161,6.4737,5.7837,3.6149,3.4468,2.5746,3.1223,1.0106,0.8022,0.7267,0.8477,0.7934,3.4019,3.0034,2.4389,1.8109,3.3335,1.9854,1.3609,0.8161,1.1817,1.1167
1995-07-01,1.1126,1.2682,1.0871,1.1193,0.9417,0.8001,0.988,0.8158,0.571,0.6942,0.6,0.4,0.5,0.6,0.61,NA,NA,NA,NA,NA,0.1,0.2,0.4,0.4,0.4,13.9573,9.2463,11.6826,7.3387,6.829,2.0104,1.42,1.6115,1.0764,1.2887,22.7548,13.6395,15.204,10.2445,9.826,5.3481,4.8595,7.2444,4.8493,2.7922,2.5809,3.2501,3.2636,3.0686,2.528,0.7608,0.7375,0.7351,0.6073,0.669,2.9357,3.4353,2.7799,2.5003,2.1179,1.0314,1.0482,0.6602,1.0418,0.9268
1995-10-01,1.299,0.8791,0.7435,1.0134,1.112,0.771,0.8411,0.5999,0.5782,0.9125,0.5,0.6,0.6,0.5,0.6,NA,NA,NA,NA,NA,0.1,0.1,0.3,0.3,0.4,4.5761,6.5465,5.9863,7.089,5.5932,1.8561,1.6144,1.5235,0.9734,1.5638,10.2946,8.0242,8.5448,9.5574,7.2064,5.1112,3.5194,5.3063,6.4134,5.0403,3.0393,2.1939,2.1962,2.5816,2.7053,0.5915,0.6624,0.5305,0.5958,0.592,4.0575,4.2532,4.4002,4.6577,2.5989,0.9481,0.9776,1.0932,1.1713,1.1094
1996-01-01,1.67,1.1991,1.241,1.0713,1.1815,0.8314,0.9814,0.62,0.8,0.9113,0.5,0.6,0.5,0.5,0.5,NA,NA,NA,NA,NA,0.1,0.25,0.3,0.3,0.3,8.6052,8.7807,7.471,5.8283,7.9199,1.8029,2.6507,1.4983,1.7569,2.5018,16.6444,11.3344,13.5385,11.0625,11.9061,4.0492,4.7474,4.4937,4.9028,3.978,3.3416,1.8999,2.3103,2.8796,2.7212,1.1554,0.7843,0.78,0.6696,0.611,4.8001,3.9756,3,2.7985,2.8103,1.3764,0.8002,1.0414,0.9989,0.9968
1996-04-01,1.1207,0.9,1.0524,1.0344,1.2,0.6047,0.7832,0.8,0.6983,0.8093,0.7,0.5,0.5,0.5,0.6,NA,NA,NA,NA,NA,0.1,0.1,0.3,0.3,0.35,6.9884,10.0507,7.7168,7.252,7.1859,2.6696,1.9034,1.47,1.2609,1.2747,19.002,7.9317,10.8193,10.081,10.9178,4.2422,5.5575,6.271,3.9031,4.6478,2.9001,1.8808,2.1861,1.9771,2.8127,0.9827,0.9945,0.5986,0.5269,0.5356,5.2999,2.5612,2.6957,3.5005,3.3767,1.7435,0.8999,0.7002,1.0978,1.3767
1996-07-01,1.278,1.0691,1.1048,1.0585,1.0861,0.6518,0.5205,0.739,0.7551,0.8323,0.6,0.6,0.6,0.65,0.6,NA,NA,NA,NA,NA,0.15,0.2,0.3,0.3,0.3,7.4148,8.6378,8.1336,5.4021,7.1844,1.9649,2.253,0.9335,1.5431,1.2483,9.4689,9.2907,8.1323,8.6527,13.8376,5.9128,5.9202,4.403,3.2117,6.2066,2.6738,2.1842,1.6176,2.164,3.5154,0.9127,0.6902,0.7474,0.7353,0.8347,3.6435,4.0002,3.2538,2.5722,2.4706,1.3092,0.7011,0.823,1.1874,1.1886
1996-10-01,1.1111,0.8078,1.0006,0.9661,0.9953,0.939,0.6692,0.6634,0.728,0.6241,0.5,0.5,0.7,0.6,0.6,NA,NA,NA,NA,NA,0.1,0.2,0.3,0.3,0.35,6.0654,9.9702,3.8267,7.4058,9.419,1.5308,1.4743,1.028,1.2303,1.2195,11.4721,7.8124,10.0241,10.7788,8.4066,2.875,3.9573,4.4987,4.397,4.8417,3.8801,3.1818,1.5269,1.6264,2.0153,0.6777,0.9461,0.4598,0.5086,0.5,4.2563,2.304,2.5642,2.2909,2.2998,1.7368,0.7551,0.9879,0.8564,0.9481
1997-01-01,1.1884,0.8221,0.9453,0.7933,0.6769,0.9612,0.8572,0.7,0.7314,0.5446,0.5,0.6,0.7,0.8,0.7,NA,NA,NA,NA,NA,0.1,0.2,0.4,0.5,0.4,9.085,6.9768,10.3736,5.0469,4.328,2.3275,1.708,1.4034,2.2401,1.3169,11.3821,11.1256,8.9971,5.5159,5.6965,3.4408,3.8969,4.3997,4.1766,3.1409,2.781,2.4373,2.1999,1.8003,2.3348,1.0361,0.5513,0.6618,0.7671,0.7421,2.8719,2.859,3.2426,2.5851,2.5001,0.9848,1.0703,0.9064,0.7762,1.0571
1997-04-01,1.1112,0.7666,0.8834,0.999,1.0709,0.9765,0.652,0.7603,0.7768,0.6838,0.8,0.4,0.5,0.55,0.7,NA,NA,NA,NA,NA,0.1,0.3,0.35,0.35,0.5,10.5655,7.5504,6.8509,6.2398,5.8519,2.3715,1.4356,1.8503,1.6749,1.792,12.5745,9.3054,9.5006,7.8649,7.055,3.0562,6.3666,5.1723,5.3058,4.3555,4.0355,4.2129,2.6973,2.806,2.5482,0.8995,0.8321,0.7121,0.6072,0.6228,3.5493,2.9299,3.3928,1.6626,1.9858,1.3811,0.6929,0.8564,0.7276,0.9649
1997-07-01,0.6952,0.9425,0.9793,0.743,0.8529,0.5,0.7803,0.8272,0.6675,0.7673,0.5,0.5,0.5,0.7,0.6,NA,NA,NA,NA,NA,0.1,0.2,0.3,0.3,0.3,14.6967,8.5978,4.4496,4.7036,6.9606,1.1372,1.0112,1.3243,1.4254,1.4279,14.0134,11.2648,9.1479,5.6154,8.8994,5.647,5.7461,4.472,3.8188,3.4633,4.0984,2.3909,2.4169,2.4752,2.5641,0.7666,0.8218,0.7532,0.7979,0.8722,2.4682,2.5902,2.3014,2.6991,1.7582,1.2562,0.9255,0.8735,1.1843,0.8313
1997-10-01,1.0479,0.7637,0.9123,0.9514,1.1513,0.6462,0.6266,0.3944,1.203,0.7231,0.3,0.5,0.7,0.6,0.5,NA,NA,NA,NA,NA,0.1,0.2,0.4,0.5,0.5,5.8119,6.7636,8.1115,8.7178,6.8193,2.0327,1.2046,1.8295,1.3728,1.7972,8.1464,6.7906,5.5159,5.8807,5.9684,3.087,4.0248,3.7995,4.3644,2.5812,5.2096,3.9562,2.5754,2.5613,3.6948,1.1402,1.0583,0.6,0.7514,0.8225,2.9803,2.1429,2.2827,1.6815,2.3765,0.8489,0.9217,0.8904,0.9712,0.7654
1998-01-01,1.1979,1.4105,0.8864,0.9245,0.6266,0.8,1,0.8,1.0937,0.6726,0.7,0.7,0.5,0.5,0.6,NA,NA,NA,NA,NA,0.1,0.3,0.4,0.5,0.5,6.6795,7.465,6.4987,5.6066,8.1569,1.9655,1.2488,1.6518,1.7824,2.071,14.9431,10.5403,8.8503,8.1312,11.0998,7.3569,5.1549,5.7244,5.2874,5.1817,5.3102,3.9592,2.2768,2.3235,2.9061,1.1384,0.676,0.6651,0.8783,0.6131,4.5584,1.982,2.0258,1.6716,3.2655,1.0406,0.9002,1.0998,1.1116,1.0803
1998-04-01,0.8627,0.6926,1.1866,0.888,0.7659,0.7987,0.8445,0.9699,0.85,0.6465,0.6,0.6,0.6,0.6,0.8,NA,NA,NA,NA,NA,0.2,0.3,0.4,0.5,0.6,8.3993,3.8349,6.3087,7.4258,8.9294,1.2777,1.7869,2.0372,1.7923,1.1435,18.2985,12.4837,8.4734,6.7632,6.9184,7.2073,6.2035,6.1312,5.4113,5.0957,5.7395,2.2577,2.4806,3.0096,2.208,1.0246,0.5,0.7547,0.8473,0.7642,6.9466,1.879,2.5822,2.1001,2.6018,1.3862,1.0235,1.2536,0.9859,0.8518
1998-07-01,1.2,1.2857,1.2746,0.8505,1.0359,0.8084,1.0353,0.8074,0.808,0.7715,0.7,0.7,0.5,0.5,0.6,NA,NA,NA,NA,NA,0.05,0.2,0.25,0.3,0.35,9.085,6.3827,7.6889,2.8394,6.398,3.4205,2.9243,1.9594,1.244,1.2662,16.5892,8.1297,8.9021,10.557,5.338,6.3657,8.5436,7.9078,8.2283,5.9896,6.4032,4.3635,2.232,1.7,1.6357,1.4466,1.3769,0.8229,0.8,0.6731,2.6383,2.2153,2.007,2.2383,1.8439,0.9085,0.6344,0.7644,0.8096,0.8309
1998-10-01,1.4543,1.3746,1.2913,1.9729,2.3648,0.6354,1.0115,1.0649,0.9628,0.8431,0.6,0.54,0.35,0.35,0.6,NA,NA,NA,NA,NA,0,0.2,0.2,0.3,0.4,8.1912,8.5022,5.6605,7.9725,5.8927,1.9088,2.3347,1.8726,1.8704,1.5749,13.5603,11.8161,11.9262,11.4609,10.3804,6.9914,8.1015,6.9415,5.773,7.0488,4.7284,4.3198,3.4567,3.4666,3.2861,0.7284,0.4629,0.8841,0.7753,0.6978,3.5368,3.103,2.5584,2.202,2.7735,0.9591,0.7032,0.9448,0.8996,1.1846
1999-01-01,1.2283,0.932,0.9806,1.4364,1.1458,0.7668,0.7999,0.8608,1.099,1.716,0.25,0.365,0.335,0.45,0.5,NA,NA,NA,NA,NA,0.1,0.3,0.3,0.4,0.5,10.9712,4.0524,6.7808,5.2941,5.5558,1.6885,1.831,1.2815,1.4946,1.736,14.7742,8.9092,8.8374,8.1748,7.6979,6.794,8.3829,7.6006,6.401,5.5177,4.7223,4.4916,2.9521,3.9548,4.2675,0.8819,0.8846,1.043,0.7982,0.8,4.3169,2.1002,2.4274,3.1313,2.1521,0.9129,0.6179,0.6437,0.7528,0.4896
1999-04-01,1.2654,1.2574,1.5448,1.661,1.2579,1.1,1.1662,1.3343,2.0177,0.9742,1.2,0.7,0.6,0.6,0.6,NA,NA,NA,NA,NA,0.1,0.2,0.3,0.3,0.4,5.7651,7.0445,7.4598,7.3415,7.2127,1.7821,1.5281,1.794,2.6366,2.0652,17.6694,12.4291,8.6532,11.9262,7.9693,7.7098,8.4172,4.7171,5.9948,4.7555,4.5,5.1591,4.3563,5.628,4.6578,1.3323,0.7524,1.181,1.359,0.9914,2.2889,3.4007,2.621,3.0357,2.6097,1.732,0.6562,0.9942,0.792,0.6792
1999-07-01,0.6764,0.997,2.0586,1.0831,0.8874,0.5042,0.9,1.6197,0.7848,0.5605,0.55,0.45,0.35,0.4,0.45,NA,NA,NA,NA,NA,0.1,0.2,0.2,0.3,0.4,7.2604,6.84,8.3724,6.0053,6.7404,2.4532,1.5043,2.0723,1.3146,1.4273,15.0489,14.8352,8.9402,9.3796,9.0126,8.2528,8.6883,9.3015,8.0877,7.4069,5.6938,4.7246,6.8648,4.0438,3.4702,0.7683,0.9639,0.9392,0.7098,0.7591,3.5561,3.5442,2.9998,2.5463,2.6899,0.9856,0.8845,0.9152,0.6616,0.9048
1999-10-01,1.3649,1.9856,1.5723,1.075,1.3712,0.8982,1.7492,1.3748,1.1352,0.9985,0.4,0.6,0.525,0.55,0.75,NA,NA,NA,NA,NA,0.1,0.2,0.3,0.3,0.4,12.9667,7.067,6.6812,8.7931,10.0921,1.514,1.2156,1.7434,1.763,1.7248,9.7362,10.948,9.8686,7.9145,7.7937,6.6241,6.4437,7.2623,6.2788,4.466,5.2271,5.0868,4.9497,4.5041,4.9259,1.1214,1.5019,1.1998,0.9324,1.0172,3.0208,3.1371,2.7727,2.6012,2.6389,1.1672,1.1979,0.8475,0.5354,0.8457
2000-01-01,1.7185,1.2999,1.3127,1.4965,1.0299,1.7191,0.731,0.9379,0.791,0.9729,0.7,0.6,0.6,0.7,0.7,NA,NA,NA,NA,NA,0.1,0.2,0.25,0.35,0.4,8.7384,9.2624,7.7965,3.8673,4.4724,2.0556,1.2272,1.6882,1.7459,1.3813,15.3799,12.3848,10.4709,3.8281,5.5159,6.0551,5.5379,6.7822,8.2737,6.9433,4.9673,2.9434,2.5075,3.0472,3.2564,0.972,0.663,1.3348,0.6561,0.8923,7.7139,2.2216,2.1365,1.3999,2.5919,2.2058,1.2088,0.7727,0.6167,0.7283
2000-04-01,1.4226,1.1566,1.0661,1.6577,1.627,0.8196,0.9522,1.2521,1.4401,1.0462,1.075,0.85,0.65,0.45,0.5,NA,NA,NA,NA,NA,0.1,0.1,0.2,0.2,0.25,7.1211,7.1043,8.8138,9.4521,4.6136,1.6786,1.4996,1.6855,1.3576,1.3395,15.9342,12.1195,9.5664,8.2223,11.3301,6.8998,8.7701,6.9521,7.1795,7.2192,7.1195,2.6979,2.5398,2.2649,3.086,1.2588,0.6834,0.9544,0.9381,0.9606,5.507,2.8298,2.5526,2.9164,2.1337,1.8205,1.6946,1.3101,0.978,0.9873
2000-07-01,1.1688,0.8679,1.5,0.8685,0.8024,0.6869,0.9634,1.1044,0.9615,0.9364,0.6,0.5,0.4,0.55,0.7,NA,NA,NA,NA,NA,0.1,0.1,0.3,0.3,0.3,16.7317,8.5519,11.8159,7.3724,4.4762,1.4292,1.9259,1.2229,1.0578,1.0991,15.9068,11.2747,6.2359,10.5354,4.6932,6.5569,6.4671,5.5619,5.3006,3.666,5.1001,2.4421,3.0741,3.317,4.2345,0.833,0.5553,0.7469,0.8311,0.7507,6.7369,2.7705,4.3271,1.7,1.7979,1.7882,1.1341,0.8998,0.9002,0.8269
2000-10-01,1.513,1.0697,0.6035,0.7649,1.1332,1.1,0.5907,0.8143,0.8345,0.9816,0.6,0.8,0.4,0.5,0.6,NA,NA,NA,NA,NA,0.1,0.2,0.13,0.17,0.2,9.5314,7.4046,6.5918,3.0229,3.1848,1.4103,0.9377,1.503,1.0992,1.1207,13.2977,12.0178,14.1054,8.3581,8.8954,7.2237,5.0731,4.3052,3.9747,3.8355,3.7004,3.0518,2.6854,2.4932,2.4861,1.1774,0.5509,0.5907,0.7072,0.4741,5.3,2.4908,1.3684,1.027,1.6509,2.0173,0.8948,0.7051,0.6043,0.8985
2001-01-01,1.2545,0.9754,1.1699,1.1984,1.3196,1.6023,1.166,1.1265,0.8888,1.0096,0.4,0.3,0.7,0.7,0.85,NA,NA,NA,NA,NA,0.1,0.3,0.4,0.5,0.6,11.0601,8.2087,4.4419,8.3494,8.8652,4.193,3.2842,2.6001,2.193,1.8788,12.2801,12.6335,10.1925,11.5827,6.502,4.5462,5.4843,3.5948,3.618,3.7961,4.255,3.0757,4.1222,3.3676,3.7839,1.2114,0.9897,0.8708,0.6698,0.9434,3.8573,1.3537,1.5834,1.2955,1.1694,1.3379,0.8588,0.7391,0.6745,0.5408
2001-04-01,1.0868,1.3,1.7262,1.0001,0.8422,0.7393,0.9875,1.231,0.9388,0.8,1.1,0.8,0.8,0.8,0.7,NA,NA,NA,NA,NA,0.2,0.3,0.3,0.4,0.4,7.5176,11.4361,16.8652,5.4259,7.2389,3.0045,3.3146,2.8235,1.6976,1.1405,14.0248,11.8277,7.9085,7.8289,5.3322,5.8147,4.3246,7.3355,4.9065,4.6237,4.5573,4.6414,3.6199,6.1114,4.9666,0.9581,0.9375,0.8081,0.8541,0.9011,2.1783,2.0765,1.3356,1.4063,1.4334,0.9939,0.5793,0.6191,0.6948,0.6396
2001-07-01,1.0516,1.1632,1.1467,1.0934,1.2201,0.904,1.0449,0.7043,0.9446,1.0419,1,0.7,0.6,0.7,0.6,NA,NA,NA,NA,NA,0.1,0.1,0.2,0.2,0.4,13.2923,19.6346,12.8036,12.8434,13.7662,3.6579,4.5271,2.839,2.1029,2.0125,13.1874,9.6817,10.3504,6.0109,6.0519,2.6068,5.7187,4.4849,5.3107,2.8944,4.7754,6.2964,6.0779,5.6853,4.3814,0.7733,1.2042,0.7523,0.7,0.6896,1.9045,1.5558,1.4568,1.3271,1.2776,1.6755,0.9503,0.7816,1.0497,1.0507
2001-10-01,1.8406,2.8918,1.1356,1.4631,1.4615,1.2034,2.1709,0.865,0.9842,1.4248,0.9,0.7,0.6,0.6,0.5,NA,NA,NA,NA,NA,0.2,0.2,0.4,0.55,0.7,29.5087,23.6151,22.339,25.8104,20.5885,3.7734,4.5628,3.7819,3.0136,2.6676,16.0032,12.9493,11.4995,12.8433,12.1401,6.2693,10.861,8.411,7.3823,7.6365,5.4431,5.8636,6.3027,4.9981,4.2697,1.6236,2.3338,1.5694,1.3722,1.1032,3.4939,5.2953,3.8351,3.3741,4.5126,2.2097,1.2124,1.0048,1.8311,1.886
2002-01-01,2.1504,2.7319,1.4,1.5813,1.387,1.8,1.7063,1.3278,1.42,1,0.7,0.55,0.5,0.4,0.4,NA,NA,NA,NA,NA,0.2,0.3,0.4,0.6,0.5,15.2836,12.8531,19.9967,21.6365,13.3704,3.2012,2.899,3.0671,3.1688,2.136,15.8397,9.0414,7.7325,5.4782,6.2393,6.0471,5.6682,4.1881,3.2559,4.1158,5.4919,4.8293,4.1624,3.5795,3.1041,2.8076,1.4386,1.1478,1.1257,1.1158,5.4304,4.3043,2.7766,3.6609,3.9465,2.3854,1.4302,1.491,1.409,0.9925
2002-04-01,1.8798,1.8286,2.0069,1.6406,1.1,1.2691,1.4378,1.3906,0.8805,0.7543,1.5,0.5,0.5,0.478,0.5,NA,NA,NA,NA,NA,0.2,0.3,0.35,0.5,0.6,20.2341,7.1421,13.1345,10.6041,11.9497,2.6976,2.0688,2.6386,2.3292,2.4769,13.5459,11.9877,6.2093,6.449,4.2482,7.7553,4.5641,4.5277,2.1842,2.6902,4.5639,2.6003,3.5978,5.0144,4.2108,1.2384,0.7201,1.2793,0.9331,0.7188,5.4377,3.3869,3.5725,4.0452,2.7732,2.2664,1.1303,1.3364,1.0407,1.267
